-0.050291, 0.019866, 0.063497, 	0.166667, 1, 		-0.2361, 0.8848, 0.4016, 
-0.042363, 0.036399, 0.031732, 	0.125, 1, 		-0.3491, 0.8993, 0.2636, 
-0.069489, 0.019866, 0.052212, 	0.125, 1, 		-0.3491, 0.8993, 0.2636, 

-0.031093, 0.019866, 0.074781, 	0.208333, 1, 		-0.2361, 0.8848, 0.4016, 
-0.030641, 0.036399, 0.038623, 	0.166667, 1, 		-0.2361, 0.8848, 0.4016, 
-0.050291, 0.019866, 0.063497, 	0.166667, 1, 		-0.2361, 0.8848, 0.4016, 
-0.030641, 0.036399, 0.038623, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.042363, 0.05101, 0.031732, 	0.125, 1, 		-0.5067, 0, 0.8621, 
-0.042363, 0.036399, 0.031732, 	0.125, 1, 		-0.5067, 0, 0.8621, 

-0.018918, 0.036399, 0.045513, 	0.208333, 1, 		-0.5067, 0, 0.8621, 
-0.030641, 0.05101, 0.038623, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.030641, 0.036399, 0.038623, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.011895, 0.000485, 0.086066, 	0.25, 0.5, 		-0.5067, 0, 0.8621, 
-0.031093, 0.019866, 0.074781, 	0.208333, 1, 		-0.5067, 0, 0.8621, 
-0.031093, 0.000485, 0.074781, 	0.208333, 0.5, 		-0.5067, 0, 0.8621, 

-0.031093, 0.000485, 0.074781, 	0.208333, 0.5, 		-0.5067, 0, 0.8621, 
-0.050291, 0.019866, 0.063497, 	0.166667, 1, 		-0.5067, 0, 0.8621, 
-0.050291, 0.000485, 0.063497, 	0.166667, 0.5, 		-0.5067, 0, 0.8621, 
0.001544, 0.268367, -0.030766, 	0.75, 1, 		0.1627, 0.9091, -0.3836, 
-0.009587, 0.272483, -0.025733, 	0, 1, 		0.1721, 0.9142, -0.3669, 
-0.003511, 0.272603, -0.022146, 	0.125, 1, 		0.1848, 0.9206, -0.344, 

0.027322, 0.272498, -0.004132, 	0.375, 1, 		0.2332, 0.9133, -0.334, 
0.026312, 0.268285, -0.016356, 	0.625, 1, 		0.2482, 0.9094, -0.3339, 
